session-uid,start,duration,location,size
9509189e-468c-4edb-aa01-cc6db1dc15df,1460672978,8,3,135
9509189e-468c-4edb-aa01-cc6db1dc15df,1460672989,16,2,72
e5b3b30b-0d2c-4a7d-b172-7f0466c02b26,1460673077,2,3,199
e5b3b30b-0d2c-4a7d-b172-7f0466c02b26,1460673096,3,2,96
e5b3b30b-0d2c-4a7d-b172-7f0466c02b26,1460673100,8,3,320
e5b3b30b-0d2c-4a7d-b172-7f0466c02b26,1460673110,6,2,224
e5b3b30b-0d2c-4a7d-b172-7f0466c02b26,1460673116,2,2,96
e5b3b30b-0d2c-4a7d-b172-7f0466c02b26,1460673121,7,4,544
e5b3b30b-0d2c-4a7d-b172-7f0466c02b26,1460673197,2,15,23
e5b3b30b-0d2c-4a7d-b172-7f0466c02b26,1460673200,2,16,16
e5b3b30b-0d2c-4a7d-b172-7f0466c02b26,1460673202,2,8,8
e5b3b30b-0d2c-4a7d-b172-7f0466c02b26,1460673204,4,3,3
e5b3b30b-0d2c-4a7d-b172-7f0466c02b26,1460673209,3,9,36
e5b3b30b-0d2c-4a7d-b172-7f0466c02b26,1460673213,4,9,16
e5b3b30b-0d2c-4a7d-b172-7f0466c02b26,1460673217,2,8,6
e5b3b30b-0d2c-4a7d-b172-7f0466c02b26,1460673220,2,9,9
e5b3b30b-0d2c-4a7d-b172-7f0466c02b26,1460673222,2,4,4
e5b3b30b-0d2c-4a7d-b172-7f0466c02b26,1460673227,2,6,6
e5b3b30b-0d2c-4a7d-b172-7f0466c02b26,1460673229,2,5,5
e5b3b30b-0d2c-4a7d-b172-7f0466c02b26,1460673231,4,8,47
e5b3b30b-0d2c-4a7d-b172-7f0466c02b26,1460673237,8,2,1
e5b3b30b-0d2c-4a7d-b172-7f0466c02b26,1460673246,3,12,24
e5b3b30b-0d2c-4a7d-b172-7f0466c02b26,1460673251,2,12,24
e5b3b30b-0d2c-4a7d-b172-7f0466c02b26,1460673254,2,4,3
e5b3b30b-0d2c-4a7d-b172-7f0466c02b26,1460673256,3,2,6
